90.8,509,446.12,692.45,849.22
168.32,422.91,355.05,425.57,571.55
130.65,324.1,184.45,425.13,519.07
114.3,238.65,256.53,535.62,579.16
102.98,282.07,349.99,624.43,682.79
105.83,358.73,386.16,633.35,716.43
128.46,392.92,393.08,622.52,722.5
481.45,110.16,485.61,801.3,661.51
447.52,111.57,381.81,683.57,540.32
500.25,195.65,379.7,661.46,470.61
444.42,191.45,310.27,554.78,387.22
323,176.57,176.03,485.23,387.86
273.25,92.7,235.05,556.59,492.44
168.24,183.58,204,506.35,508.27
207.18,148.37,312.7,627.21,609.03
273.73,143.93,387.83,704.42,668.23
344.94,118.6,442.56,763.85,676.85
260.43,203.4,125.3,443.3,407.68
347.2,225.74,139.86,430.6,339.59
468.85,349.57,219.86,398.06,208.61
372.71,309.76,102.36,431.21,272.93
449.25,426.17,161.06,256.02,185.27
410.47,467.8,150.27,180.62,248.57
329.69,436.98,112.7,220.06,341.26
266.08,442.48,158.75,273.53,402.73
192.43,426.7,140.43,346.07,458.57
198.76,249.8,127.8,426.95,444.64
296.59,496.4,199.28,251.03,456.04
434.61,633.65,321.29,168.32,469.59
562.2,740.19,413.76,142.25,465.57
617.19,738.99,419.24,95.13,390.37
632.18,691.02,381.74,132.28,255.7
606.88,616.54,330.55,183.92,153.84
456.21,513.4,198.71,140.8,232.31
398.55,517.2,198.31,141.03,344.47
494.4,418.3,210.01,316.26,142.72
521.69,519.03,237.98,208.52,135.56
657.49,652.01,379.89,241.14,133.37
688.8,634.5,397.76,326.46,80.28
744.45,629.99,453.54,433.21,124.2
731.8,595.27,455.87,477.3,149.57
640.07,483.7,371,462.65,156.47
543.07,409.19,205.78,410.57,156.97